Player,Overall Score,Height,Weight,Age,Preferred Foot,Preferred Positions,Ball Control,Dribbling,Marking,Slide Tackle,Stand Tackle,Aggression,Reactions,Attack Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long Pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,Free Kick Acc,Penalties,Volleys
Kristoffer Ondoua,72,180,74,27,0,2,73.0,70.0,68.0,63.0,68.0,74.0,67.0,72.0,67.0,70.0,70.0,62.0,73.0,70.0,76.0,92.0,72.0,68.0,77.0,73.0,80.0,67.0,69.0,69.0,65.0,57.0,51.0,59.0,60.0
Philipp Förster,72,188,82,26,1,2,74.0,72.0,65.0,52.0,60.0,70.0,74.0,74.0,58.0,75.0,68.0,66.0,74.0,68.0,62.0,89.0,76.0,65.0,74.0,65.0,58.0,44.0,74.0,64.0,61.0,60.0,63.0,54.0,49.0
Luther Singh,72,171,60,24,0,3,72.0,73.0,22.0,40.0,45.0,34.0,69.0,72.0,43.0,62.0,70.0,67.0,70.0,62.0,83.0,63.0,44.0,88.0,81.0,85.0,46.0,54.0,72.0,67.0,63.0,71.0,66.0,66.0,65.0
Rodrigo,72,176,73,28,0,2,71.0,73.0,67.0,69.0,69.0,65.0,70.0,67.0,69.0,76.0,73.0,74.0,73.0,72.0,75.0,74.0,70.0,76.0,73.0,74.0,77.0,59.0,78.0,48.0,71.0,72.0,68.0,67.0,44.0
Hopcutt Osorio,72,189,77,27,0,1,59.0,44.0,69.0,73.0,74.0,81.0,70.0,30.0,71.0,33.0,69.0,33.0,62.0,38.0,55.0,71.0,83.0,44.0,55.0,49.0,71.0,70.0,40.0,25.0,30.0,31.0,32.0,40.0,35.0
Sean Longstaff,72,180,65,24,0,2,74.0,68.0,64.0,58.0,66.0,54.0,74.0,68.0,70.0,72.0,71.0,60.0,73.0,73.0,61.0,72.0,65.0,67.0,54.0,56.0,61.0,47.0,73.0,61.0,70.0,68.0,69.0,54.0,56.0
Hannes Wolf,72,179,69,22,1,2,76.0,77.0,25.0,38.0,39.0,54.0,68.0,70.0,38.0,70.0,70.0,63.0,69.0,64.0,80.0,70.0,67.0,74.0,75.0,77.0,73.0,57.0,69.0,68.0,68.0,73.0,63.0,65.0,63.0
Ao Tanaka,72,177,69,23,0,2,70.0,66.0,70.0,67.0,73.0,71.0,69.0,64.0,67.0,67.0,68.0,61.0,73.0,73.0,72.0,78.0,67.0,75.0,71.0,84.0,63.0,52.0,71.0,66.0,67.0,63.0,65.0,56.0,56.0
Fodé Ballo-Touré,72,182,70,24,1,2,71.0,72.0,66.0,68.0,70.0,74.0,65.0,64.0,65.0,64.0,63.0,71.0,71.0,65.0,86.0,76.0,71.0,69.0,85.0,69.0,62.0,58.0,56.0,49.0,52.0,68.0,49.0,53.0,39.0
Lamine Fomba,72,188,68,23,0,2,73.0,71.0,70.0,70.0,73.0,71.0,69.0,61.0,73.0,62.0,68.0,59.0,70.0,64.0,64.0,82.0,77.0,77.0,68.0,79.0,77.0,70.0,67.0,47.0,48.0,57.0,45.0,45.0,44.0
Anastasios Chatzigiovanis,72,175,62,24,0,3,74.0,76.0,45.0,33.0,30.0,64.0,65.0,67.0,25.0,67.0,65.0,70.0,68.0,66.0,82.0,65.0,57.0,75.0,78.0,77.0,59.0,55.0,64.0,67.0,65.0,65.0,65.0,55.0,59.0
Martin Hongla,72,181,77,23,0,2,74.0,76.0,64.0,58.0,66.0,63.0,62.0,63.0,70.0,70.0,80.0,57.0,76.0,76.0,79.0,84.0,78.0,74.0,81.0,81.0,81.0,73.0,78.0,67.0,73.0,71.0,39.0,55.0,60.0
Pedro Díaz,72,180,78,23,0,2,75.0,69.0,68.0,68.0,71.0,59.0,72.0,66.0,70.0,75.0,67.0,70.0,76.0,74.0,68.0,74.0,67.0,68.0,66.0,77.0,46.0,42.0,80.0,70.0,81.0,79.0,82.0,66.0,60.0
Marc Cardona,72,183,70,26,0,3,73.0,72.0,28.0,12.0,17.0,50.0,74.0,74.0,24.0,58.0,66.0,57.0,70.0,51.0,76.0,61.0,65.0,60.0,74.0,71.0,62.0,72.0,73.0,72.0,67.0,60.0,52.0,63.0,68.0
Nicolás Ibáñez,72,178,80,27,0,3,72.0,68.0,45.0,21.0,22.0,64.0,69.0,75.0,18.0,58.0,63.0,39.0,62.0,58.0,74.0,73.0,74.0,70.0,71.0,72.0,87.0,77.0,74.0,75.0,64.0,58.0,41.0,59.0,64.0
Sergio Peña,72,178,70,26,0,2,74.0,74.0,55.0,44.0,49.0,45.0,68.0,68.0,62.0,78.0,73.0,80.0,73.0,76.0,67.0,76.0,68.0,75.0,65.0,68.0,44.0,57.0,76.0,64.0,70.0,72.0,71.0,71.0,68.0
Ovie Ejaria,72,188,74,24,0,2,81.0,82.0,65.0,70.0,67.0,52.0,63.0,60.0,69.0,69.0,73.0,63.0,72.0,68.0,72.0,77.0,65.0,83.0,63.0,90.0,39.0,50.0,63.0,63.0,65.0,69.0,49.0,57.0,55.0
Kyle Duncan,72,177,68,24,0,1,65.0,70.0,68.0,66.0,70.0,70.0,52.0,54.0,71.0,45.0,52.0,66.0,62.0,54.0,90.0,78.0,68.0,75.0,91.0,84.0,89.0,63.0,52.0,46.0,41.0,56.0,31.0,37.0,33.0
Morgan Gibbs-White,72,178,70,21,0,2,72.0,74.0,57.0,53.0,56.0,57.0,70.0,70.0,58.0,73.0,73.0,63.0,75.0,73.0,73.0,67.0,66.0,75.0,69.0,75.0,58.0,55.0,73.0,61.0,68.0,65.0,63.0,49.0,52.0
Alejandro Pozo Pozo,72,173,62,22,0,2,72.0,74.0,64.0,68.0,72.0,34.0,68.0,65.0,62.0,63.0,55.0,72.0,71.0,64.0,76.0,73.0,38.0,79.0,75.0,85.0,64.0,67.0,70.0,69.0,73.0,59.0,52.0,58.0,64.0
Fabio Depaoli,72,182,71,24,0,1,74.0,72.0,67.0,73.0,72.0,64.0,74.0,65.0,68.0,64.0,65.0,76.0,74.0,71.0,75.0,67.0,52.0,72.0,74.0,69.0,35.0,62.0,62.0,50.0,47.0,73.0,44.0,65.0,48.0
Tomás Alarcón,72,174,68,22,0,2,72.0,58.0,67.0,66.0,73.0,79.0,65.0,53.0,74.0,60.0,68.0,45.0,71.0,73.0,64.0,72.0,75.0,80.0,67.0,71.0,74.0,65.0,57.0,45.0,58.0,46.0,69.0,49.0,30.0
Giorgi Kvilitaia,72,193,82,28,0,3,74.0,73.0,35.0,33.0,31.0,65.0,74.0,73.0,31.0,58.0,63.0,49.0,69.0,55.0,60.0,66.0,80.0,42.0,61.0,62.0,68.0,73.0,71.0,74.0,66.0,62.0,33.0,64.0,73.0
McMann Salmier,72,188,85,29,0,1,61.0,48.0,72.0,66.0,75.0,71.0,65.0,29.0,70.0,33.0,62.0,22.0,65.0,58.0,45.0,73.0,88.0,46.0,41.0,44.0,73.0,74.0,62.0,17.0,17.0,28.0,23.0,33.0,27.0
Samir Memišević,72,186,76,28,0,2,64.0,64.0,69.0,61.0,65.0,82.0,66.0,36.0,76.0,54.0,64.0,40.0,66.0,63.0,51.0,87.0,86.0,64.0,65.0,43.0,90.0,75.0,75.0,36.0,54.0,30.0,28.0,66.0,20.0
Marshall Munetsi,72,188,83,25,0,1,70.0,65.0,68.0,71.0,73.0,65.0,66.0,56.0,69.0,68.0,60.0,50.0,74.0,71.0,67.0,75.0,80.0,51.0,59.0,56.0,65.0,68.0,68.0,41.0,45.0,51.0,38.0,41.0,37.0
Matúš Bero,72,181,81,26,0,2,75.0,73.0,73.0,61.0,66.0,79.0,72.0,72.0,65.0,68.0,69.0,68.0,74.0,70.0,69.0,88.0,80.0,73.0,75.0,69.0,72.0,62.0,79.0,71.0,72.0,69.0,64.0,67.0,69.0
Josh Maja,72,181,77,22,0,3,74.0,74.0,33.0,23.0,22.0,38.0,72.0,74.0,14.0,64.0,74.0,51.0,73.0,56.0,74.0,62.0,65.0,71.0,77.0,68.0,56.0,65.0,70.0,73.0,68.0,62.0,44.0,65.0,62.0
Ferdi Kadioglu,72,174,68,22,0,2,75.0,75.0,37.0,28.0,35.0,46.0,67.0,63.0,40.0,76.0,63.0,70.0,71.0,64.0,72.0,69.0,57.0,81.0,74.0,74.0,61.0,42.0,64.0,60.0,60.0,72.0,64.0,52.0,60.0
Panagiotis Retsos,72,186,79,23,0,1,65.0,46.0,70.0,71.0,77.0,69.0,72.0,37.0,75.0,42.0,71.0,57.0,74.0,62.0,63.0,67.0,74.0,51.0,67.0,66.0,74.0,70.0,60.0,26.0,33.0,31.0,29.0,33.0,26.0
Maxime D'Arpino,72,176,68,25,0,2,71.0,69.0,65.0,71.0,70.0,76.0,67.0,64.0,72.0,68.0,68.0,70.0,74.0,70.0,70.0,84.0,64.0,80.0,64.0,83.0,55.0,48.0,69.0,51.0,71.0,70.0,68.0,55.0,59.0
Lucas Höler,72,184,83,27,0,3,59.0,57.0,40.0,29.0,38.0,70.0,78.0,77.0,33.0,54.0,59.0,45.0,57.0,41.0,67.0,82.0,80.0,64.0,73.0,63.0,80.0,76.0,78.0,75.0,65.0,50.0,38.0,57.0,69.0
Maxim Leitsch,72,188,75,23,1,1,68.0,60.0,74.0,72.0,75.0,66.0,69.0,44.0,73.0,40.0,67.0,59.0,63.0,60.0,84.0,69.0,74.0,61.0,89.0,59.0,63.0,68.0,56.0,29.0,35.0,44.0,35.0,39.0,30.0
Kristian Pedersen,72,191,83,27,1,1,66.0,67.0,70.0,69.0,74.0,74.0,70.0,56.0,71.0,55.0,65.0,66.0,65.0,47.0,62.0,89.0,82.0,48.0,67.0,56.0,70.0,72.0,49.0,30.0,39.0,36.0,25.0,30.0,28.0
Bakery Jatta,72,184,79,23,0,2,67.0,75.0,33.0,35.0,43.0,63.0,62.0,74.0,30.0,68.0,70.0,70.0,67.0,54.0,84.0,80.0,78.0,62.0,87.0,69.0,61.0,55.0,77.0,71.0,64.0,57.0,49.0,61.0,59.0
Jordan Lefort,72,184,81,28,1,1,68.0,61.0,71.0,70.0,73.0,72.0,70.0,62.0,73.0,47.0,65.0,67.0,69.0,61.0,65.0,81.0,73.0,56.0,65.0,57.0,73.0,64.0,25.0,22.0,27.0,46.0,33.0,37.0,22.0
Oualid El Hajjam,72,180,72,30,0,1,69.0,67.0,74.0,72.0,74.0,71.0,69.0,63.0,72.0,61.0,69.0,65.0,71.0,67.0,69.0,82.0,73.0,67.0,69.0,65.0,62.0,68.0,59.0,35.0,58.0,69.0,34.0,33.0,35.0
Oghenekaro Etebo,72,176,70,26,0,2,76.0,74.0,72.0,72.0,73.0,80.0,73.0,65.0,68.0,67.0,68.0,61.0,72.0,70.0,79.0,87.0,77.0,77.0,76.0,84.0,85.0,68.0,80.0,59.0,62.0,62.0,66.0,69.0,66.0
Lewis Travis,72,183,63,24,0,2,70.0,70.0,72.0,73.0,72.0,82.0,72.0,57.0,62.0,65.0,69.0,59.0,72.0,68.0,72.0,85.0,68.0,74.0,67.0,61.0,72.0,62.0,69.0,58.0,59.0,53.0,42.0,49.0,43.0
Lucas Fernandes,72,175,70,24,0,2,75.0,77.0,55.0,45.0,54.0,54.0,71.0,65.0,53.0,70.0,74.0,71.0,75.0,72.0,75.0,74.0,55.0,74.0,72.0,79.0,57.0,44.0,81.0,62.0,76.0,75.0,74.0,67.0,66.0
Caio Milaçar,72,170,67,25,0,2,75.0,75.0,17.0,30.0,32.0,41.0,74.0,68.0,43.0,76.0,79.0,59.0,75.0,60.0,68.0,68.0,49.0,86.0,64.0,75.0,46.0,47.0,60.0,72.0,63.0,68.0,64.0,73.0,69.0
Kainho Selva,72,183,79,21,0,1,64.0,60.0,74.0,72.0,79.0,68.0,62.0,38.0,65.0,36.0,62.0,58.0,59.0,40.0,64.0,66.0,79.0,54.0,68.0,60.0,72.0,73.0,48.0,24.0,25.0,38.0,35.0,34.0,24.0
Ricky Guerreda,72,170,67,29,0,1,67.0,61.0,73.0,72.0,71.0,62.0,68.0,48.0,69.0,56.0,66.0,65.0,68.0,61.0,79.0,72.0,45.0,86.0,77.0,80.0,66.0,47.0,55.0,40.0,42.0,60.0,51.0,53.0,41.0
Maximiliano Lovera,72,170,68,22,0,2,78.0,80.0,30.0,33.0,29.0,60.0,64.0,64.0,24.0,66.0,56.0,61.0,70.0,53.0,90.0,71.0,58.0,92.0,84.0,91.0,73.0,52.0,61.0,63.0,62.0,54.0,58.0,59.0,45.0
Sofiane Alakouch,72,175,66,23,0,1,69.0,69.0,70.0,72.0,70.0,63.0,66.0,61.0,68.0,65.0,67.0,69.0,71.0,66.0,75.0,76.0,61.0,79.0,72.0,79.0,45.0,53.0,63.0,40.0,36.0,63.0,33.0,43.0,38.0
Mendez-Laing Méïté,72,185,82,25,1,2,54.0,68.0,43.0,40.0,57.0,87.0,69.0,75.0,35.0,55.0,68.0,63.0,55.0,48.0,77.0,84.0,87.0,60.0,81.0,78.0,87.0,79.0,83.0,73.0,65.0,64.0,55.0,71.0,70.0
Tarik Tissoudali,72,182,74,28,0,3,76.0,80.0,26.0,27.0,21.0,38.0,72.0,74.0,20.0,69.0,72.0,65.0,73.0,52.0,77.0,77.0,67.0,77.0,75.0,81.0,66.0,58.0,69.0,73.0,68.0,71.0,66.0,55.0,73.0
Bautista Merlini,72,179,71,26,0,2,67.0,76.0,41.0,47.0,43.0,69.0,65.0,65.0,35.0,70.0,73.0,70.0,68.0,63.0,86.0,76.0,41.0,87.0,81.0,92.0,58.0,44.0,62.0,67.0,67.0,69.0,65.0,59.0,51.0
Mikel Villanueva,72,192,79,28,1,1,65.0,60.0,73.0,68.0,72.0,75.0,68.0,40.0,68.0,34.0,68.0,65.0,70.0,65.0,60.0,67.0,89.0,65.0,69.0,48.0,73.0,62.0,64.0,27.0,43.0,49.0,47.0,38.0,42.0
Russell Canouse,72,178,76,26,0,2,68.0,62.0,72.0,69.0,70.0,77.0,70.0,53.0,65.0,62.0,69.0,39.0,73.0,71.0,65.0,85.0,82.0,69.0,66.0,68.0,72.0,69.0,59.0,46.0,53.0,41.0,48.0,54.0,49.0
Asencio Suzuki,72,182,75,25,0,3,68.0,68.0,40.0,25.0,48.0,71.0,70.0,77.0,38.0,68.0,74.0,67.0,68.0,62.0,71.0,82.0,67.0,68.0,70.0,68.0,77.0,78.0,69.0,74.0,64.0,57.0,45.0,72.0,70.0
Shogo Taniguchi,72,183,75,30,0,1,64.0,56.0,72.0,69.0,74.0,62.0,72.0,55.0,76.0,49.0,61.0,50.0,74.0,68.0,52.0,82.0,72.0,59.0,73.0,58.0,71.0,72.0,63.0,35.0,49.0,35.0,32.0,45.0,39.0
Chris Mepham,72,191,75,24,0,1,66.0,58.0,71.0,73.0,75.0,73.0,68.0,39.0,72.0,53.0,67.0,38.0,68.0,63.0,57.0,65.0,77.0,64.0,62.0,51.0,74.0,71.0,52.0,32.0,32.0,41.0,35.0,44.0,33.0
Miki Yohan Tavares,72,178,72,27,0,1,65.0,67.0,67.0,69.0,71.0,64.0,70.0,55.0,68.0,62.0,65.0,64.0,74.0,66.0,71.0,82.0,65.0,66.0,82.0,54.0,73.0,64.0,70.0,58.0,63.0,48.0,38.0,43.0,66.0
Garrido,72,185,80,32,0,2,62.0,50.0,70.0,69.0,75.0,87.0,62.0,50.0,75.0,60.0,65.0,41.0,66.0,62.0,34.0,88.0,92.0,41.0,38.0,34.0,47.0,60.0,68.0,32.0,45.0,41.0,49.0,38.0,34.0
Cristian Tarragona,72,180,77,30,0,3,67.0,68.0,43.0,35.0,39.0,87.0,75.0,74.0,37.0,57.0,68.0,39.0,62.0,49.0,82.0,85.0,75.0,84.0,83.0,81.0,80.0,70.0,76.0,73.0,66.0,47.0,41.0,71.0,55.0
Chidozie Awaziem,72,189,77,24,0,1,63.0,57.0,73.0,71.0,73.0,77.0,73.0,28.0,73.0,30.0,69.0,30.0,63.0,54.0,64.0,67.0,76.0,51.0,71.0,63.0,74.0,70.0,53.0,36.0,37.0,33.0,25.0,40.0,30.0
Takuma Asano,72,173,71,27,0,3,71.0,74.0,31.0,20.0,22.0,46.0,76.0,71.0,29.0,66.0,70.0,62.0,69.0,47.0,91.0,71.0,65.0,79.0,89.0,91.0,79.0,60.0,69.0,69.0,59.0,61.0,39.0,65.0,65.0
Diego B. García,72,172,64,30,0,2,73.0,71.0,43.0,40.0,39.0,25.0,64.0,68.0,30.0,76.0,63.0,75.0,71.0,68.0,75.0,70.0,75.0,74.0,69.0,72.0,66.0,59.0,76.0,73.0,76.0,62.0,64.0,62.0,66.0
Sultan Al Ghannam,72,170,62,27,0,1,68.0,72.0,65.0,64.0,68.0,69.0,64.0,68.0,67.0,67.0,63.0,77.0,70.0,65.0,80.0,81.0,62.0,84.0,81.0,75.0,56.0,58.0,65.0,58.0,57.0,68.0,43.0,52.0,56.0
Federico Ricca,72,178,73,27,1,1,68.0,63.0,72.0,72.0,72.0,77.0,68.0,58.0,72.0,50.0,65.0,66.0,67.0,58.0,71.0,69.0,68.0,72.0,68.0,70.0,78.0,72.0,71.0,38.0,61.0,45.0,40.0,38.0,24.0
Maurício,72,183,78,29,0,1,52.0,51.0,68.0,70.0,72.0,75.0,66.0,23.0,77.0,44.0,63.0,35.0,66.0,68.0,65.0,63.0,82.0,53.0,56.0,36.0,88.0,76.0,63.0,38.0,43.0,45.0,55.0,43.0,30.0
Fahd Moufi,72,177,73,25,0,1,68.0,66.0,68.0,70.0,71.0,77.0,68.0,60.0,70.0,61.0,67.0,66.0,68.0,53.0,73.0,78.0,75.0,72.0,74.0,69.0,76.0,57.0,59.0,28.0,42.0,57.0,35.0,46.0,26.0
Shaquell Moore,72,180,74,25,0,2,73.0,66.0,61.0,66.0,63.0,56.0,69.0,70.0,62.0,56.0,69.0,73.0,66.0,58.0,86.0,83.0,75.0,65.0,88.0,80.0,87.0,55.0,64.0,59.0,58.0,57.0,35.0,56.0,45.0
Jannes Horn,72,186,77,24,1,1,68.0,67.0,64.0,69.0,73.0,68.0,69.0,46.0,68.0,44.0,60.0,71.0,69.0,48.0,77.0,67.0,68.0,62.0,78.0,66.0,70.0,59.0,45.0,29.0,32.0,53.0,35.0,49.0,36.0
Mitchell Ogura,72,170,62,22,0,3,70.0,73.0,35.0,23.0,21.0,44.0,69.0,67.0,23.0,69.0,65.0,69.0,64.0,53.0,94.0,78.0,40.0,82.0,92.0,93.0,39.0,34.0,65.0,63.0,68.0,74.0,54.0,42.0,62.0
Maiky,72,172,65,25,0,1,70.0,69.0,64.0,68.0,66.0,62.0,65.0,69.0,66.0,63.0,66.0,71.0,66.0,64.0,76.0,90.0,57.0,82.0,80.0,83.0,73.0,55.0,70.0,54.0,65.0,66.0,67.0,62.0,38.0
Curro Sánchez,72,173,71,25,1,2,71.0,73.0,36.0,37.0,46.0,40.0,65.0,69.0,44.0,75.0,72.0,70.0,68.0,67.0,78.0,67.0,47.0,78.0,75.0,80.0,38.0,43.0,69.0,73.0,75.0,75.0,73.0,70.0,56.0
Simon Banza,72,189,77,25,0,3,71.0,71.0,42.0,18.0,19.0,67.0,74.0,76.0,14.0,58.0,67.0,34.0,57.0,40.0,69.0,66.0,74.0,66.0,69.0,69.0,80.0,73.0,69.0,74.0,69.0,54.0,31.0,67.0,66.0
Joan Sastre,72,174,75,24,0,1,70.0,68.0,68.0,71.0,72.0,58.0,65.0,49.0,67.0,44.0,62.0,69.0,67.0,37.0,75.0,71.0,64.0,60.0,79.0,60.0,57.0,62.0,34.0,36.0,31.0,40.0,40.0,61.0,31.0
Lloyd Kelly,72,190,76,23,1,1,71.0,67.0,73.0,72.0,73.0,73.0,67.0,60.0,70.0,59.0,69.0,64.0,66.0,63.0,72.0,70.0,78.0,62.0,75.0,63.0,67.0,68.0,50.0,34.0,41.0,44.0,42.0,45.0,35.0
László Kleinheisler,72,173,70,27,0,2,72.0,76.0,64.0,60.0,63.0,77.0,76.0,71.0,59.0,67.0,76.0,65.0,73.0,67.0,78.0,82.0,67.0,82.0,73.0,87.0,63.0,44.0,83.0,66.0,73.0,72.0,61.0,58.0,48.0
Reiss Nelson,72,175,71,22,0,3,76.0,77.0,24.0,37.0,37.0,42.0,65.0,71.0,42.0,67.0,60.0,65.0,68.0,58.0,85.0,64.0,53.0,76.0,85.0,83.0,41.0,39.0,67.0,69.0,54.0,66.0,67.0,60.0,55.0
Josh Dasilva,72,184,75,23,1,2,75.0,75.0,66.0,62.0,64.0,70.0,70.0,67.0,60.0,72.0,75.0,68.0,76.0,75.0,73.0,74.0,79.0,71.0,74.0,72.0,48.0,50.0,78.0,65.0,77.0,71.0,39.0,55.0,57.0
Grady Diangana,72,180,73,23,1,2,74.0,77.0,26.0,23.0,26.0,48.0,68.0,65.0,27.0,70.0,60.0,70.0,70.0,55.0,87.0,66.0,56.0,79.0,79.0,78.0,52.0,37.0,55.0,65.0,67.0,53.0,49.0,50.0,48.0
Waldo,72,181,80,26,0,2,70.0,79.0,31.0,26.0,30.0,60.0,72.0,70.0,40.0,61.0,70.0,68.0,65.0,55.0,85.0,68.0,67.0,80.0,84.0,81.0,76.0,64.0,83.0,66.0,74.0,70.0,60.0,70.0,71.0
Moussa Koné,72,175,68,24,0,3,74.0,72.0,33.0,21.0,27.0,57.0,73.0,77.0,31.0,55.0,69.0,53.0,69.0,46.0,91.0,69.0,66.0,78.0,91.0,82.0,76.0,60.0,59.0,73.0,67.0,56.0,27.0,70.0,61.0
Emre Mor,72,169,60,24,1,3,75.0,83.0,30.0,33.0,28.0,68.0,66.0,69.0,28.0,64.0,65.0,62.0,65.0,56.0,87.0,59.0,31.0,89.0,84.0,91.0,64.0,46.0,66.0,68.0,68.0,68.0,38.0,49.0,69.0
Casimir Ninga,72,186,81,28,0,3,69.0,71.0,21.0,23.0,25.0,67.0,67.0,70.0,24.0,63.0,65.0,69.0,64.0,56.0,87.0,82.0,76.0,57.0,89.0,66.0,79.0,63.0,79.0,66.0,72.0,65.0,53.0,70.0,71.0
Filip Krovinović,72,177,70,26,0,2,77.0,72.0,61.0,50.0,57.0,68.0,70.0,69.0,68.0,72.0,80.0,65.0,77.0,75.0,65.0,62.0,60.0,75.0,68.0,75.0,54.0,54.0,77.0,62.0,70.0,76.0,61.0,62.0,64.0
Faïz Selemani,72,182,65,28,0,2,74.0,74.0,54.0,55.0,60.0,57.0,64.0,67.0,58.0,73.0,70.0,71.0,69.0,66.0,82.0,70.0,56.0,72.0,84.0,83.0,65.0,48.0,71.0,69.0,69.0,63.0,71.0,74.0,63.0
Hauke Wahl,72,189,85,27,0,1,68.0,58.0,72.0,67.0,74.0,60.0,70.0,29.0,75.0,61.0,74.0,28.0,73.0,65.0,50.0,79.0,79.0,66.0,72.0,60.0,73.0,71.0,44.0,30.0,24.0,22.0,20.0,45.0,21.0
Gojko Cimirot,72,178,77,29,0,2,73.0,66.0,70.0,68.0,72.0,68.0,72.0,57.0,67.0,68.0,72.0,58.0,75.0,71.0,66.0,81.0,70.0,72.0,65.0,72.0,64.0,55.0,72.0,57.0,67.0,61.0,64.0,60.0,56.0
Endre Botka,72,178,77,27,0,1,61.0,48.0,74.0,76.0,72.0,80.0,65.0,42.0,71.0,32.0,56.0,69.0,61.0,42.0,78.0,64.0,75.0,59.0,73.0,56.0,66.0,68.0,41.0,38.0,28.0,32.0,28.0,41.0,21.0
Joe Worrall,72,190,90,24,0,1,53.0,35.0,74.0,73.0,71.0,70.0,70.0,27.0,71.0,30.0,62.0,39.0,64.0,55.0,58.0,72.0,80.0,46.0,63.0,43.0,76.0,73.0,34.0,20.0,22.0,27.0,29.0,35.0,30.0
Emre Akbaba,72,180,73,29,1,2,73.0,72.0,57.0,45.0,55.0,64.0,69.0,75.0,51.0,74.0,72.0,69.0,74.0,75.0,68.0,71.0,54.0,67.0,69.0,67.0,58.0,62.0,77.0,68.0,75.0,76.0,74.0,75.0,68.0
Giuseppe Pezzella,72,185,81,24,1,2,71.0,72.0,65.0,70.0,71.0,72.0,69.0,59.0,64.0,56.0,60.0,72.0,69.0,66.0,77.0,73.0,77.0,62.0,76.0,66.0,57.0,68.0,67.0,49.0,48.0,50.0,37.0,45.0,39.0
Lyanco,72,187,83,24,0,1,62.0,57.0,70.0,72.0,76.0,78.0,67.0,31.0,71.0,46.0,62.0,35.0,68.0,59.0,63.0,52.0,74.0,43.0,67.0,56.0,70.0,69.0,51.0,33.0,27.0,33.0,27.0,47.0,34.0
Mijat Gaćinović,72,175,67,26,0,1,77.0,77.0,63.0,65.0,64.0,68.0,76.0,67.0,70.0,71.0,64.0,69.0,73.0,72.0,78.0,79.0,53.0,83.0,73.0,87.0,64.0,47.0,67.0,51.0,70.0,60.0,51.0,62.0,64.0
Hugo Rubiães,72,175,75,25,0,1,71.0,67.0,78.0,76.0,74.0,67.0,72.0,58.0,76.0,54.0,62.0,48.0,71.0,66.0,72.0,67.0,66.0,74.0,62.0,76.0,63.0,61.0,74.0,55.0,64.0,70.0,54.0,53.0,60.0
Leandro Vivenço,72,174,69,21,0,3,75.0,77.0,33.0,21.0,22.0,57.0,74.0,65.0,22.0,57.0,62.0,61.0,55.0,57.0,73.0,78.0,54.0,83.0,76.0,73.0,75.0,65.0,83.0,76.0,73.0,77.0,74.0,71.0,72.0
Vicemte Tófoli,72,172,67,25,1,3,77.0,77.0,31.0,32.0,36.0,44.0,66.0,74.0,38.0,61.0,67.0,58.0,69.0,59.0,81.0,62.0,41.0,84.0,78.0,62.0,56.0,53.0,68.0,77.0,62.0,64.0,68.0,73.0,69.0
Jadson Vidigal,72,175,70,29,0,3,61.0,62.0,16.0,12.0,12.0,55.0,75.0,77.0,31.0,51.0,65.0,51.0,67.0,52.0,78.0,62.0,55.0,77.0,76.0,69.0,76.0,70.0,81.0,74.0,77.0,55.0,53.0,77.0,76.0
Gérson Noalha,72,178,76,29,1,2,76.0,76.0,33.0,22.0,25.0,55.0,67.0,67.0,25.0,56.0,71.0,53.0,56.0,56.0,66.0,74.0,69.0,66.0,85.0,76.0,73.0,64.0,86.0,75.0,69.0,83.0,71.0,76.0,77.0
Hélton Celanova,72,180,92,29,1,3,73.0,63.0,13.0,10.0,18.0,52.0,67.0,74.0,20.0,65.0,74.0,42.0,71.0,53.0,53.0,59.0,88.0,56.0,53.0,68.0,68.0,76.0,86.0,73.0,72.0,63.0,52.0,76.0,77.0
Jacson Zonta,72,181,74,25,0,2,71.0,77.0,31.0,22.0,21.0,45.0,77.0,76.0,45.0,77.0,66.0,74.0,72.0,61.0,77.0,67.0,67.0,65.0,69.0,72.0,60.0,51.0,57.0,61.0,62.0,83.0,75.0,71.0,55.0
Dersan Dinis,72,176,70,29,0,3,68.0,71.0,45.0,60.0,51.0,58.0,75.0,73.0,51.0,72.0,64.0,72.0,73.0,64.0,76.0,63.0,75.0,45.0,80.0,58.0,69.0,69.0,55.0,72.0,70.0,55.0,50.0,41.0,54.0
Fábio Melitinho,72,170,67,25,0,2,73.0,74.0,10.0,31.0,33.0,54.0,76.0,74.0,20.0,75.0,83.0,73.0,74.0,75.0,40.0,69.0,50.0,85.0,51.0,76.0,50.0,42.0,74.0,72.0,75.0,83.0,75.0,72.0,73.0
Alam Basteirinho,72,183,74,29,1,2,73.0,76.0,10.0,44.0,47.0,63.0,71.0,71.0,48.0,76.0,71.0,68.0,75.0,69.0,61.0,36.0,58.0,61.0,63.0,66.0,51.0,48.0,54.0,66.0,69.0,65.0,73.0,71.0,67.0
Leordinho Paes,72,180,69,21,1,2,76.0,73.0,26.0,42.0,54.0,37.0,65.0,74.0,46.0,78.0,66.0,71.0,73.0,69.0,68.0,66.0,54.0,70.0,70.0,73.0,67.0,51.0,55.0,67.0,66.0,72.0,67.0,64.0,62.0
